,ticker,cik
138,antm,1156039
139,mrna,1682852
140,zts,1555280
141,abnb,1559720
142,bkng,1075531
143,mu,723125
144,pld,1045609
145,fis,1136893
146,infy,1067491
147,swgay,1438845
148,bti,1303523
149,lrcx,707549
150,sbgsy,923734
151,bp,313807
152,mdlz,1103982
153,mo,764180
154,cci,1051470
155,gild,882095
156,adp,8670
157,usb,36104
158,gm,1467858
159,cta-pa,30554
160,aiquy,1161167
161,nio,1736541
162,tjx,109198
163,enb,895728
164,ci,1739940
165,esloy,1085922
166,pnc,713676
167,cop,1163165
168,bam,1001085
169,fdx,1048911
170,meli,1099590
171,bns,9631
172,frcoy,1446595
173,duk,1326160
174,dell,1571996
175,hkxcy,1445476
176,cme,1156375
177,ntes,1110646
178,snp,1123658
179,cni,16868
180,eqix,1101239
181,atvi,718877
182,tfc,92230
183,shw,89800
184,bdx,10795
185,mmc,62709
186,fisv,798354
187,cb,896159
188,pbr,1119639
189,hca,860730
190,shecy,1442651
191,atlcy,748954
192,snow,1640147
193,kddiy,1106215
194,itw,49826
195,cof,927628
196,pstvy,1689565
197,abb,1091587
198,wbk,719245
199,mufg,67088
200,bx,1393818
201,cl,21665
202,ilmn,1110803
203,mco,1059556
204,cpng,1834584
205,cfruy,948401
206,eqnr,1140625
207,njdcy,1158967
208,nsc,702165
209,team,1650372
210,twlo,1447669
211,ice,1571949
212,ew,1099800
213,bmo,927971
214,vmw,1124610
215,toely,1443276
216,chgcy,1453934
217,so,92122
218,adsk,769397
219,apd,2969
220,bidu,1329099
221,san,891478
222,rbgly,1420798
223,stla,1605484
224,adi,6281
225,regn,872589
226,bsx,885725
227,coin,1679788
228,vcisy,1065198
229,dnngy,1679771
230,d,715957
231,wm,823768
232,ibn,1103838
233,safry,1364012
234,ecl,31462
235,crwd,1535527
236,etn,1551182
237,dash,1792789
238,noc,1133421
239,wday,1327811
240,hum,49071
241,f,37996
242,pdrdy,899108
243,roku,1428439
244,emr,32604
245,bsbr,1471055
246,pgr,80661
247,gpn,1123360
248,glncy,1524684
249,idxx,874716
250,docu,1261333
251,twtr,1418091
252,lnsty,1439584
253,nxpi,1413447
254,dkily,1446519
255,gwlly,1536278
256,hmc,715153
257,itub,1132597
258,cvna,1690820
259,psa,1393311
260,aon,315293
261,gd,40533
262,epd,1061219
263,relx,929869
264,dnzoy,1446598
265,ubs,1610520
266,abev,1565025
267,lzagy,1446711
268,fcx,831259
269,tak,1395064
270,bcmxy,1447011
271,biib,875045
272,ifnny,1107457
273,vrtx,875320
274,met,1099219
275,dg,29534
276,bntx,1776985
277,nem,1164727
278,pins,1506293
279,cm,1045520
280,race,1648416
281,csuay,1445470
282,ing,1039765
283,spot,1639920
284,lulu,1397187
285,beke,1809587
286,bbd,1160330
287,wfafy,1436381
288,puk,1116578
289,kdp,1418135
290,rop,882835
291,rblx,1315098
292,vlvly,753762
293,tri,1075124
294,cicoy,1445161
295,amx,1129137
296,veev,1393052
297,jci,833444
298,mraay,1450468
299,eog,821189
300,trp,1232384
301,khc,1637459
302,info,1598014
303,scco,1001838
304,iqv,1478242
305,mnst,865752
306,algn,1097149
307,klac,319201
308,ntoiy,1436791
309,olcly,1545460
310,mrvl,1835632
311,ebay,1065088
312,sxyay,1575851
313,fanuy,1446596
314,vod,839923
315,danoy,1048515
316,smfg,1022837
317,pltr,1321655
318,dow,1751788
319,trow,1113169
320,ngg,1004315
321,jmhly,870016
322,vnja,1532383
323,mar,1048286
324,lyg,1160106
325,kmb,55785
326,a,1090872
327,msci,1408198
328,rost,745732
329,lhx,202058
330,tel,1385157
331,bce,718940
332,mtch,891103
333,tt,1466258
334,stz,16918
335,cmg,1058090
336,exc,1109357
337,gld,1222333
338,crary,1279967
339,slb,87347
340,e,1002242
341,ecify,1387438
342,phg,313216
343,bk,1390777
344,eric,717826
345,itocy,355363
346,cnc,1071739
347,dlr,1297996
348,gvdny,1121631
349,aptv,1521332
350,dxcm,1093557
351,snps,883241
352,aep,4904
353,cnq,1017413
354,knyjy,1436793
355,nvzmy,1131345
356,spg,1063761
357,wit,1123799
358,carr,1783180
359,kmi,1506307
360,aph,820313
361,bbva,842180
362,wba,1618921
363,khngy,1451287
364,ea,712515
365,dd,1666700
366,ftnt,1262039
367,bili,1723690
368,bcs,312069
369,sre,1032208
370,alxn,899866
371,bax,10456
372,orly,898173
373,svndy,1359519
374,ctas,723254
375,ppg,79879
376,aig,5272
377,mchp,827054
378,ovchy,1448817
379,pru,1137774
380,all,899051
381,crh,849395
382,lvs,1300514
383,pxd,1038357
384,ph,76334
385,payx,723531
386,cdns,813672
387,syy,96021
388,mpc,1510295
389,okta,1660134
390,panw,1327567
391,hnnmy,1396282
392,trv,86312
393,mfc,1086888
394,gold,756894
395,msi,68505
396,zijmy,1459580
397,vonoy,1652630
398,rkt,1805284
399,psx,1534701
400,pton,1639825
401,iff,51253
402,vivhy,1127055
403,hcmly,948696
404,gis,40704
405,su,311337
406,hpq,47217
407,ctsh,1058290
408,hsy,47111
409,afl,4977
410,xel,72903
411,rmd,943819
412,dfs,1393612
413,tdg,1260221
414,codyy,1012037
415,clpby,1294325
416,rsg,1060391
417,sbac,1034054
418,well,766704
419,xlnx,743988
420,xpev,1810997
421,otis,1781335
422,alc,1167379
423,hlt,1585689
424,bf-a,14693
425,kkr,1404912
426,mtcpy,1159204
427,mfg,1335730
428,yum,1041061
429,cmi,26172
430,glw,24741
431,htht,1483994
432,lgfry,1554394
433,chwy,1766502
434,schyy,1491703
435,zbh,1136869
436,net,1477333
437,dnhby,1498632
438,stm,932787
439,ashty,1518258
440,ntr,1725964
441,asazy,1253493
442,ddog,1561550
443,lyb,1489393
444,rht,1087423
445,frc,1132979
446,swk,93556
447,azo,866787
448,adm,7084
449,iau,1278680
450,poahy,1450346
451,mtd,1037646
452,lbrda,1611983
453,rok,1024478
454,path,1734722
455,cgemy,1084656
456,rdsmy,1339422
457,dhi,882184
458,ahchy,1448987
459,ctva,1755672
460,kbcsy,1411133
461,vfc,103379
462,cprt,900075
463,alpmy,1446390
464,wmb,107263
465,dboey,1437147
466,nwg,844150
467,w,1616707
468,amady,1502104
469,chcjy,1495687
470,arzgy,1379235
471,cht,1132924
472,wcn,1318220
473,swks,4127
474,ferg,1832433
475,zs,1713683
476,mt,1243429
477,mplx,1552000
478,anss,1013462
479,luv,92380
480,nok,924613
481,ame,1037868
482,len,920760
483,vlo,1035002
484,peg,788784
485,gelyy,1474968
486,li,1791706
487,ec,1444406
488,fmx,1061736
489,mck,927653
490,fast,815556
491,zlndy,1638747
492,trumy,1446672
493,pcar,75362
494,oran,1038143
495,tu,868675
496,cjpry,1334687
497,crbjy,1454471
498,efx,33185
499,sivb,719739
500,bgne,1651308
501,avb,915912
502,u,1810806
503,ccl,815097
504,slf,1097362
505,ckhuy,1637120
506,wltw,1140536
507,awk,1410636
508,zg,1617640
509,odfl,878927
510,eqr,906107
511,epam,1352010
512,wegzy,1445166
513,zbra,877212
514,ndaq,1120193
515,et,1276187
516,vrsk,1442145
517,amp,820027
518,anet,1596532
519,wec,783325
520,cbre,1138118
521,stt,93751
522,oxy,797468
523,mgddy,896076
524,keys,1601046
525,fnv,1456346
526,grmn,1121788
527,hubs,1404655
528,cabhf,1436647
529,dia,1041130
530,yumc,1673358
531,kr,56873
532,ccep,1650107
533,viac,813828
534,syf,1601712
535,es,72741
536,nue,73309
537,bby,764478
538,sgen,1060736
539,dal,27904
540,rng,1384905
541,ajg,354190
542,mxim,743316
543,are,1035443
544,gmab,1434265
545,tyidy,1130894
546,wst,105770
547,lh,920148
548,ejpry,1093028
549,mga,749098
550,ctryy,1462886
551,mdy,936958
552,gnrc,1474735
553,rci,733099
554,cmaky,1453056
555,bll,9389
556,ibkr,1381197
557,siri,908937
558,gwlif,850918
559,gbery,1179029
560,tsn,100493
561,lu,1816007
562,hes,4447
563,cuk,1125259
564,vrsn,1014473
565,fitb,35527
566,caixy,1535628
567,work,1764925
568,ed,1047862
569,saxpy,1436778
570,hrl,48465
571,db,1159508
572,ksu,54480
573,amc,1411579
574,enph,1463101
575,o,726728
576,wy,106535
577,tdoc,1477449
578,rprx,1802768
579,yndx,1513845
580,oke,1039684
581,etsy,1370637
582,gasny,1269920
583,app,1751008
584,anyyy,1700171
585,fojcy,1436740
586,ryaay,1038683
587,rweoy,939380
588,cdw,1402057
589,tef,814052
590,csx,277948
591,expe,1324424
592,ssmxy,1517231
593,zto,1677250
594,cern,804753
595,abc,1140859
596,tscdy,885834
597,sonvy,1450681
598,tme,1744676
599,tlpfy,1450682
600,fms,1333141
601,ntrs,73124
602,pcg,1004980
603,splk,1353283
604,ip,51434
605,caj,16988
606,cs,1159510
607,ftv,1659166
608,mkc,63754
609,payc,1590955
610,bkr,1701605
611,gww,277135
612,baesy,895564
613,umc,1033767
614,yahoy,1446437
615,xp,1787425
616,sgsoy,1069347
617,cjewy,1555574
618,dltr,935703
619,mtsfy,1446641
620,ztcoy,1445156
621,exr,1289490
622,mdb,1441816
623,vmc,1396009
624,clx,21076
625,uri,1067701
626,svnly,1448613
627,otsky,1544613
628,pkx,889132
629,gib,1061574
630,gctay,1158089
631,lng,3570
632,burl,1579298
633,smnny,1640117
634,mlm,916076
635,aonny,1300175
636,tcom,1269238
637,wat,1000697
638,frrvy,1438571
639,dish,1001082
640,cnhi,1567094
641,invh,1687229
642,imo,49938
643,it,749251
644,qrvo,1604778
645,hig,874766
646,thlly,1722401
647,cqp,1383650
648,eix,827052
649,dte,936340
650,k,55067
651,xyl,1524472
652,ppl,922224
653,dov,29905
654,vtr,740260
655,kmx,1170010
656,futu,1754581
657,cncn,1191334
658,tru,1552033
659,xngsy,1454948
660,tsco,916365
661,hznp,1492426
662,expd,746515
663,fandy,1454175
664,flt,1175454
665,stne,1745431
666,wdc,106040
667,rcl,884887
668,avtr,1722482
669,ter,97210
670,ste,1757898
671,chd,313927
672,logi,1032975
673,exas,1124140
674,txg,1770787
675,weicy,1452191
676,fts,1666175
677,foxa,1754301
678,aee,1002910
679,trmb,864749
680,ir,1699150
681,tlk,1001807
682,hban,49196
683,zi,1794515
684,ppccy,1446747
685,szkmy,1263521
686,czr,1590895
687,imbby,1072670
688,etr,65984
689,rnecy,1246135
690,alny,1178670
691,lb,701985
692,fe,1031296
693,dkng,1772757
694,coup,1385867
695,lyft,1759509
696,ttwo,946581
697,coo,711404
698,wpm,1323404
699,ess,920522
700,bio,12208
701,skm,1015650
702,maa,912595
703,tw,1758730
704,mgm,789570
705,sui,912593
706,qsr,1618756
707,hal,45012
708,nrily,1179493
709,alb,915913
710,grub,1792627
711,tdy,1094285
712,stx,1137789
713,ulta,1403568
714,dri,940944
715,key,91576
716,ix,1070304
717,prdsy,1527249
718,haity,1553473
719,ucbjy,1290640
720,snn,845982
721,tfx,96943
722,ctlt,1596783
723,nvcr,1645113
724,tyl,860731
725,ui,1511737
726,snmry,1437771
727,akam,1086222
728,br,1383312
729,syiey,1444718
730,tsgty,939383
731,cfg,759944
732,podd,1145197
733,crl,1100682
734,cve,1475260
735,alsmy,1062066
736,nvr,906163
737,dvn,1090012
738,rf,1281761
739,ssnc,1402436
740,cinf,20286
741,hpe,1645590
742,plug,1093691
743,pags,1712807
744,pool,945841
745,lyv,1335258
746,xyigy,1508669
747,dpz,1286681
748,sbhmy,1604982
749,xm,1747748
750,gpc,40987
751,kb,1445930
752,ally,40729
753,wmg,1319161
754,incy,879169
755,ntap,1002047
756,peak,765880
757,bsy,1031308
758,hei,46619
759,mtb,36270
760,bxp,1037540
761,dre,783280
762,shg,1263043
763,afrm,1820953
764,tlsny,1169870
765,rjf,720005
766,dvcmy,1163417
767,mktx,1278021
768,egrny,1595085
769,tech,842023
770,holx,859737
771,amcr,1748790
772,zen,1463172
773,asx,1122411
774,bill,1786352
775,bpy,1545772
776,mpwr,1280452
777,pki,31791
778,cag,23217
779,dt,1773383
780,lsxma,1560385
781,aes,874761
782,pba,1546066
783,cms,811156
784,hdely,1400691
785,ftch,1740915
786,jbht,728535
787,rol,84839
788,j,52988
789,vtrs,1792044
790,avy,8818
791,ptc,857005
792,omc,29989
793,cghly,1550635
794,wix,1576789
795,ce,1306830
796,rkuny,1294591
797,nuan,1002517
798,cg,1527166
799,pfg,1126328
800,mkl,1096343
801,iex,832101
802,ual,100517
803,vici,1705696
804,cah,721371
805,fang,1539838
806,bip,1406234
807,clvt,1764046
808,elan,1739104
809,on,1097864
810,ckisy,1065989
811,pubgy,1050952
812,wpp,806968
813,whlkf,1449594
814,dgx,1022079
815,ppd,1793294
816,argx,1697862
817,nlok,849399
818,nice,1003935
819,tif,98246
820,oaofy,1058255
821,agr,1634997
822,entg,1101302
823,ben,38777
824,nvax,1000694
825,sgioy,1281721
826,chkp,1015922
827,ntco,1776967
828,acgl,947484
829,atus,1702780
830,zlab,1704292
831,xpo,1166003
832,ttm,926042
833,grfs,1438569
834,bmrn,1048477
835,elp,1041792
836,emn,915389
837,suz,909327
838,nmr,1163653
839,enia,912505
840,maruy,801645
841,txt,217346
842,wab,943452
843,szlmy,1438844
844,fujhy,800364
845,aem,2809
846,szsay,1444147
847,fico,814547
848,bro,79282
849,abmd,815094
850,atasy,1437775
851,umicy,1477038
852,cgnx,851205
853,udr,74208
854,lbtya,1570585
855,lkq,1065696
856,moh,1179929
857,nngry,1690981
858,gddy,1609711
859,alfvy,863344
860,lumn,18926
861,cday,1725057
862,apo,1411494
863,mas,62996
864,nwsa,1564708
865,agl,1831097
866,smfky,1537547
867,hwm,4281
868,rh,1528849
869,jhx,1159152
870,gds,1526125
871,ctxs,877890
872,osh,1564406
873,bntgy,1533945
874,ldos,1336920
875,sjr,932872
876,sedg,1419612
877,avlr,1348036
878,disca,1437107
879,kkoyy,1436794
880,ednmy,1581671
881,iep,813762
882,l,60086
883,phm,822416
884,masi,937556
885,evrg,1711269
886,coihy,1513977
887,gme,1326380
888,lnt,352541
889,ranjy,1112439
890,els,895417
891,otex,1002638
892,sbny,1288784
893,sjm,91419
894,jbaxy,1475011
895,amigy,1438930
896,clpxy,1490083
897,kep,887225
898,sofi,1818874
899,cck,1219601
900,cpb,16732
901,edu,1372920
902,xray,818479
903,fmc,37785
904,cnp,1130310
905,clr,732834
906,aap,1158449
907,ccozy,1398879
908,swmay,1011218
909,viv,1066119
910,wynn,1174922
911,whr,106640
912,wpc,1025378
913,wrk,1732845
914,mhk,851968
915,aal,6201
916,fbhs,1519751
917,wrb,11544
918,psmmy,1439580
919,tal,1499620
920,tsp,1823593
921,sbysf,1783546
922,estc,1707753
923,dqjcy,1446597
924,cpt,906345
925,cchgy,1558633
926,vedl,1370431
927,ath,1527469
928,jxhly,1487533
929,mtuay,1342237
930,kkpny,1001474
931,iac,1800227
932,ach,1161611
933,wb,1595761
934,has,46080
935,ndvly,800928
936,lii,1069202
937,gdrx,1809519
938,amh,1562401
939,ggg,42888
940,mtn,812011
941,fds,1013237
942,fivn,1288847
943,yasky,1559460
944,pkg,75677
945,uwmc,1783398
946,cxo,1358071
947,kikoy,1446656
948,dva,927066
949,uhs,352915
950,maogy,1437144
951,tuya,1829118
952,ebr,1439124
953,ipg,51644
954,rlx,1828365
955,ato,731802
956,ndsn,72331
957,eqh,1333986
958,bki,1627014
959,cgasy,1555207
960,vips,1529192
961,gh,1576280
962,fnf,1331875
963,cboe,1374310
964,iktsy,1444714
965,znh,1041668
966,alle,1579241
967,ts,1190723
968,cheoy,1453930
969,ihg,858446
970,nly,1043219
971,chrw,1043277
972,rdy,1135951
973,mcfe,1783317
974,stld,1022671
975,zlioy,1546084
976,sbsw,1786909
977,rnlsy,1416039
978,sc,1580608
979,cna,21175
980,pwr,1050915
981,irm,1020569
982,chgg,1364954
983,jkhy,779152
984,bz,1842827
985,gps,39911
986,fosuy,1462456
987,wsm,719955
988,znga,1439404
989,cnpay,1450278
990,dbx,1467623
991,sqm,909037
992,sna,91440
993,tpl,1811074
994,ivz,914208
995,cx,1076378
996,mpw,1287865
997,gjnsy,1531384
998,jpxgy,1600520
999,ozon,1822829
1000,stbfy,1587200
1001,brkr,1109354
1002,teck,886986
1003,frfhf,915191
1004,hst,1070750
1005,lnc,59558
1006,ttc,737758
1007,bah,1443646
1008,warfy,901684
1009,pcor,1611052
1010,smtoy,95227
1011,cabo,1632127
1012,sid,1049659
1013,lw,1679273
1014,wtrg,78128
1015,aseky,1450206
1016,abmrf,1784384
1017,penn,921738
1018,tpr,1116132
1019,monoy,1583055
1020,trex,1069878
1021,rpm,110621
1022,run,1469367
1023,emraf,1127248
1024,mos,1285785
1025,shwgy,1505223
1026,bwa,908255
1027,uhal,4457
1028,kof,910631
1029,cvac,1809122
1030,axon,1069183
1031,sam,949870
1032,qgen,1015820
1033,wlk,1262823
1034,pega,1013857
1035,iq,1722608
1036,ffiv,1048695
1037,levi,94845
1038,ophly,940821
1039,ahexy,1446251
1040,aos,91142
1041,tap,24545
1042,nwl,814453
1043,ipgp,1111928
1044,fnd,1507079
1045,cree,895419
1046,crsp,1674416
1047,asan,1477720
1048,lnegy,1437041
1049,pnr,77360
1050,rgen,730272
1051,iclr,1060955
1052,lspd,1823306
1053,wso,105016
1054,spce,1706946
1055,ipxhy,1309035
1056,morn,1289419
1057,bg,1144519
1058,hsic,1000228
1059,lpla,1397911
1060,five,1177609
1061,ndeky,353991
1062,mmp,1126975
1063,dar,916540
1064,reg,910606
1065,smmyy,1551402
1066,ver,1507385
1067,deck,910521
1068,glpi,1575965
1069,qs,1811414
1070,kl,1713443
1071,rmyhy,1636804
1072,cf,1324404
1073,cea,1030475
1074,pcty,1591698
1075,bep,1533232
1076,bhc,885590
1077,lamr,1090425
1078,hrgly,1528651
1079,teva,818686
1080,ares,1176948
1081,clf,764065
1082,lfst,1845257
1083,gfl,1780232
1084,lad,1023128
1085,mro,101778
1086,jazz,1232524
1087,nclh,1513761
1088,shmay,1555379
1089,ntra,1604821
1090,lea,842162
1091,afg,1042046
1092,smg,825542
1093,remyy,1552653
1094,oled,1005284
1095,iliay,1570932
1096,bmbl,1830043
1097,mrvi,1823239
1098,ntla,1652130
1099,cp,16875
1100,mndy,1845338
1101,dlb,1308547
1102,efgsy,1445153
1103,sgpyy,1253494
1104,mdiby,1379481
1105,oc,1370946
1106,pen,1321732
1107,isuzy,763665
1108,trgp,1389170
1109,nrg,1013871
1110,negg,1474627
1111,uelmo,100826
1112,rdeiy,1438654
1113,pfpt,1212458
1114,klycy,1449614
1115,dxc,1688568
1116,hubb,48898
1117,re,1095073
1118,curlf,1756770
1119,azpn,929940
1120,dox,1062579
1121,iaugy,1206571
1122,erie,922621
1123,shcay,800840
1124,csl,790051
1125,ewbc,1069157
1126,kotmy,1543727
1127,open,1801169
1128,jll,1037976
1129,cold,1455863
1130,ni,1111711
1131,vrt,1674101
1132,rhi,315213
1133,japsy,318269
1134,stor,1538990
1135,agco,880266
1136,fslr,1274494
1137,gl,320335
1138,appn,1441683
1139,cube,1298675
1140,midd,769520
1141,cma,28412
1142,ggb,1073404
1143,ssl,314590
1144,ugi,884614
1145,bbio,1743881
1146,wal,1212545
1147,chpt,1777393
1148,smar,1366561
1149,bap,1001290
1150,aiz,1267238
1151,rs,861884
1152,bfam,1437578
1153,oukpy,1436786
1154,prymy,1437672
1155,manh,1056696
1156,dnli,1714899
1157,gwre,1528396
1158,wrtby,1436771
1159,pnw,764622
1160,wu,1365135
1161,pltk,1828016
1162,synh,1610950
1163,ggdvy,925428
1164,y,775368
1165,mksi,1049502
1166,bch,1161125
1167,cms-pb,201533
1168,shtdy,1556605
1169,armk,1584509
1170,aqn,1174169
1171,upst,1647639
1172,asgly,7646
1173,nbix,914475
1174,atr,896622
1175,acm,868857
1176,fhn,36966
1177,bynd,1655210
1178,dnb,1799208
1179,psxp,1572910
1180,sci,89089
1181,grpty,1395167
1182,pso,938323
1183,ksryy,1668501
1184,ua,1336917
1185,cae,1173382
1186,st,1477294
1187,frt,34903
1188,arvl,1835059
1189,siely,1453732
1190,aacay,1447647
1191,bak,1071438
1192,glob,1557860
1193,aci,1646972
1194,kim,879101
1195,aemmy,1437776
1196,cien,936395
1197,wes,1423902
1198,cone,1553023
1199,see,1012100
1200,jnpr,1043604
1201,adt,1703056
1202,agnc,1423689
1203,vst,1692819
1204,wex,1309108
1205,arcc,1287750
1206,bery,1378992
1207,vno,899689
1208,slfpy,1370418
1209,icl,941221
1210,amed,896262
1211,seic,350894
1212,asai,1834048
1213,cgc,1737927
1214,bldr,1316835
1215,shpmy,1570300
1216,dks,1089063
1217,ubsfy,1446702
1218,g,1398659
1219,nlsn,1492633
1220,csan,1430162
1221,bsac,1027552
1222,atdry,1647435
1223,ohi,888491
1224,sommy,1409236
1225,fvrr,1762301
1226,lsi,944314
1227,flex,866374
1228,aeg,769218
1229,cbsh,22356
1230,tfii,1588823
1231,jbl,898293
1232,zion,109380
1233,rl,1037038
1234,phys,1477049
1235,wfg,1402388
1236,tixt,1825155
1237,mrtx,1576263
1238,kss,885639
1239,hmtly,353990
1240,cnxc,1803599
1241,ggmc,1818880
1242,alv,1034670
1243,osk,775158
1244,nnn,751364
1245,zayo,1608249
1246,miufy,1447113
1247,wynmy,1480134
1248,uthr,1082554
1249,cpri,1530721
1250,hii,1501585
1251,slv,1330568
1252,arw,7536
1253,jef,96223
1254,wms,1604028
1255,dseey,1481045
1256,rohcy,1442653
1257,fate,1434316
1258,bsmx,1698287
1259,kgc,701818
1260,pii,931015
1261,tokuy,1131652
1262,mbt,1115837
1263,gfi,1172724
1264,roymy,1592438
1265,usfd,1665918
1266,psfe,1833835
1267,ntnx,1618732
1268,au,1067428
1269,sepjy,1518521
1270,ehc,785161
1271,krc,1025996
1272,dci,29644
1273,yeti,1670592
1274,gmed,1237831
1275,tpx,1206264
1276,omf,1584207
1277,paa,1070423
1278,plan,1540755
1279,gntx,355811
1280,itt,216228
1281,h,1468174
1282,leco,59527
1283,hegiy,1449217
1284,mlco,1381640
1285,glbe,1835963
1286,dnfgy,1454473
1287,ovv,1792580
1288,nfe,1749723
1289,hllgy,1674534
1290,an,350698
1291,bmrry,1671235
1292,tv,912892
1293,knx,1492691
1294,mrwsy,1446128
1295,four,1794669
1296,rexr,1571283
1297,airc,1820877
1298,iivi,820318
1299,apa,1841666
1300,rtmvy,1516536
1301,tx,1342874
1302,rga,898174
1303,hrc,47518
1304,xlrn,1280600
1305,fsv,1637810
1306,sqsp,1496963
1307,wwd,108312
1308,skx,1065837
1309,fcnca,798941
1310,che,19584
1311,lpl,1290109
1312,rgld,85535
1313,bc,14930
1314,acsay,1448375
1315,mtz,15615
1316,pvh,78239
1317,ori,74260
1318,site,1650729
1319,crct,1828962
1320,tdhoy,1288098
1321,malry,1537280
1322,iaa,1745041
1323,jsgry,1442656
1324,athm,1527636
1325,sklz,1801661
1326,chdn,20212
1327,lscc,855658
1328,voya,1535929
1329,tlry,1731348
1330,stwd,1465128
1331,ccj,1009001
1332,ccoey,1551467
1333,crox,1334036
1334,cacc,885550
1335,figs,1846576
1336,alk,766421
1337,upwk,1627475
1338,wish,1822250
1339,rnr,913144
1340,wf,1264136
1341,vlpny,1378984
1342,amg,1004434
1343,eeft,1029199
1344,xec,1168054
1345,dava,1656081
1346,thc,70318
1347,bepc,1791863
1348,gtbif,1795139
1349,bncdy,1667075
1350,nyt,71691
1351,surry,1556607
1352,fybr,20520
1353,sgms,750004
1354,itvpy,1283708
1355,suopy,1347141
1356,casy,726958
1357,tol,794170
1358,asnd,1612042
1359,cib,1071371
1360,gil,1061894
1361,chng,1756497
1362,pbct,1378946
1363,asomy,1492075
1364,beam,1745999
1365,mituy,1446420
1366,hog,793952
1367,lazr,1758057
1368,axta,1616862
1369,pacb,1299130
1370,post,1530950
1371,furcf,1559444
1372,pe,1594466
1373,mat,63276
1374,oln,74303
1375,frpt,1611647
1376,nvst,1757073
1377,cnvvy,1694271
1378,tiscy,773917
1379,cfr,39263
1380,hwdjy,1563177
1381,felty,1447250
1382,shc,1822479
1383,fr,921825
1384,bb,1070235
1385,azek,1782754
1386,staa,718937
1387,cciv,1811210
1388,htcmy,1446648
1389,ffin,36029
1390,oge,1021635
1391,aa,1675149
1392,faf,1472787
1393,crcby,1553915
1394,cog,858470
1395,sfix,1576942
1396,sf,720672
1397,ttek,831641
1398,zhuzy,1556616
1399,hqy,1428336
1400,fupby,1534043
1401,kc,1795589
1402,swav,1642545
1403,leg,58492
1404,sgfy,1828182
1405,brks,933974
1406,brx,1581068
1407,slab,1038074
1408,colm,1050797
1409,vac,1524358
1410,wh,1722684
1411,acc,1283630
1412,egp,49600
1413,chh,1046311
1414,son,91767
1415,txrh,1289460
1416,coty,1024305
1417,bl,1666134
1418,nvta,1501134
1419,jhg,1274173
1420,byd,906553
1421,kt,892450
1422,edr,1766363
1423,mpfry,1417695
1424,srcl,861878
1425,fsly,1517413
1426,halo,1159036
1427,arwr,879407
1428,eme,105634
1429,pnfp,1115055
1430,lhcg,1303313
1431,rba,1046102
1432,aer,1378789
1433,omcl,926326
1434,pb,1068851
1435,rdfn,1382821
1436,dooo,1748797
1437,clzny,1366235
1438,msa,66570
1439,medp,1668397
1440,wsc,1647088
1441,apps,317788
1442,nkla,1731289
1443,kajmy,1446660
1444,lmnd,1691421
1445,sjmhy,1599962
1446,cohr,21510
